OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,OBJECTID_1,Shape_Leng,Top_in_RPA
1354,0,10,8217fbd7-794a-495b-b82a-de2e45a947a9,0,8,2,42,ELM STREET,SUMMER STREET,N450,N1445,ELM STREET,SUMMER STREET,N450,N1445,METROPOLITAN AREA PLANNING COUNCIL,"SOMERVILLE,CAMBRIDGE","4,6",{7DBCFDC4-99E2-4F67-B697-FC093423AA21},,,,,1012.757652,84,1012.7576,Y
1358,0,8,f50a25dd-3b9b-4928-88ab-08b5986abaac,0,4,4,24,PARK STREET,WALNUT STREET,SR27 NB,L173964,PARK STREET,SUMNER STREET,SR27 NB,N1734,BELONGS BOTH TO MAPC & OCPC,STOUGHTON,5,{790A8083-BCF1-4450-9CF8-757322CAF1C6},,,,,1020.642419,85,1020.642358,Y
1360,0,5,171aaf55-36bb-4c2a-bede-5b3e520a7d45,0,4,1,21,NORTH MAIN STREET,PRESIDENT AVENUE,N5419,US6 EB,PRESIDENT AVENUE,NORTH MAIN STREET,US6 EB,N5419,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{63856FA4-7D0B-4367-AB92-AEAB9C2EAD4D},,,,,732.011931,86,732.011943,Y
1383,0,4,da3bdbd9-5677-4feb-a331-1a0beae84831,0,3,1,16,WASHINGTON STREET,LINCOLN STREET,SR138 NB,N2888,WASHINGTON STREET,LINCOLN STREET,SR138 NB,N2888,BELONGS BOTH TO MAPC & OCPC,STOUGHTON,5,{20764B24-347F-47BF-A6BA-52312C199B0E},,,,,840.270379,87,840.270378,Y
1396,0,263,9b42c878-7f82-41e4-8fa4-75a15310fad5,0,162,101,911,HAMPSHIRE STREET,BROADWAY,N324,N1475,HAMPSHIRE STREET,BROADWAY,N324,N1475,METROPOLITAN AREA PLANNING COUNCIL,"CAMBRIDGE,SOMERVILLE","6,4",{6437B3F9-7CC6-4FAA-B518-516D1A5E5448},,,,,7004.854786,88,7004.854474,Y
1398,0,10,b4265b53-e8c1-4983-9644-104eed82d271,0,7,3,38,COMMONWEALTH AVENUE, ,US20 EB,L091402,COMMONWEALTH AVENUE,SAINT PAUL STREET,US20 EB,N1519,METROPOLITAN AREA PLANNING COUNCIL,"BOSTON,BROOKLINE",6,{71C1884B-70C7-4B26-9DD8-7E025C8D0A87},,,,,1175.045587,89,1175.045769,Y
1401,0,14,6e5e294b-a87a-44ee-b13d-4b0d5ae56f5e,0,7,7,42,THORNDIKE STREET,LORD OVERPASS,N094 NB,SR3A NB,LORD OVERPASS,RAMP-CHELMSFORD ST TO RT 3A SB,SR3A NB,SR3A SB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{D2299321-6EF1-4ABF-B18B-97AFE99164E5},,,,,889.579024,90,889.579048,Y
1402,0,8,01bf3dae-a36f-4f8a-ab12-2194a9a1a9c8,0,7,1,36,MAIN STREET,BACON STREET,US20 EB,L197335,MAIN STREET,LEXINGTON STREET,US20 EB,N2464,METROPOLITAN AREA PLANNING COUNCIL,WATERTOWN,6,{E3957160-1B8F-46EB-AF23-BF171917BC95},,,,,1431.826168,91,1431.826117,Y
1405,0,20,fdad2600-a0bf-418b-8cc6-b6347c0c6535,0,15,5,80,ELM STREET,COURT STREET,US20 EB,US202 SB,ELM STREET,COURT STREET,US20 EB,US202 SB,PIONEER VALLEY PLANNING COMMISSION,WESTFIELD,2,{FCCA6855-9F4F-4AA8-B428-8C0089B2426E},,,,,1995.355124,92,1995.355233,Y
1410,0,6,167e7046-6758-4bc2-a4ec-193b92058305,0,5,1,26,UNION AVENUE,MEADOW STREET,US202 NB, ,UNION AVENUE,ELM STREET,US202 NB,US202 SB,PIONEER VALLEY PLANNING COMMISSION,WESTFIELD,2,{4BF77554-8E67-4E9A-A371-61768D034C6D},,,,,767.433153,93,767.433121,Y
1423,0,7,aebfe393-4400-48bf-a9d5-4eb72371dc5d,1,5,1,36,PITCHERS WAY,FALMOUTH ROAD,N3234,SR28 NB,FALMOUTH ROAD,PITCHERS WAY,SR28 NB,N3234,CAPE COD COMMISSION,BARNSTABLE,5,{C7B84F21-B4AF-442F-B9C3-455FD7D708E2},,,,,628.113512,94,628.113512,Y
1425,0,10,afaf813e-ceb9-4efb-b2eb-53c5208a2d4e,0,6,4,34,MAIN STREET,HERVEY STREET,N4636,L211109,MAIN STREET,GROVE STREET,N4636,N4635,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{A5FA6AE9-3CB0-4E70-82E7-9AFA3EAC28D9},,,,,1510.897188,95,1510.897266,Y
1432,0,4,cb766e6d-d6b3-4d25-a1f6-645188edfa1e,0,4,0,20,PARK STREET,LAWRENCE STREET,N4243,N4242,PARK STREET,LAWRENCE STREET,N4243,N4242,MERRIMACK VALLEY PLANNING COMMISSION,LAWRENCE,4,{9E37948A-2464-4FFC-9E03-13E60AE0991E},,,,,879.691432,96,879.691496,Y
1439,0,2,1fc7c776-539b-46eb-99bd-193489e68e12,0,2,0,10,MILESTONE ROAD, ,N4577,B1,MILESTONE ROAD,SPARKS AVENUE,N4577,N4577,NANTUCKET PLANNING & ECONOMIC DEVELOPMENT COMMISSION,NANTUCKET,5,{8ABEAE10-8375-4C8A-A845-202EB42D8DB0},,,,,815.961141,97,815.961184,Y
1465,0,5,cf38a8a2-a42a-40d7-84bf-c61b919206a7,0,5,0,25,STATE STREET,THOMPSON STREET,N011,L171728,STATE STREET,HANCOCK STREET,N011,N5095,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{0F1061FD-2442-49F5-9569-2E08CCF158EA},,,,,854.148781,98,854.148767,Y
1506,0,17,a2ea79d0-08c6-4474-9743-9e7d88bfa0e7,0,15,2,77,MAIN STREET,MAPLE AVENUE,SR123 EB,L186498,MAIN STREET,BELMONT STREET,SR123 EB,SR123 EB,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{41AB0056-D325-471F-B6A6-E3C55ED3072C},,,,,1828.826509,99,1828.82652,Y
1507,0,15,653772b5-b9fa-41d4-89f4-8a270188c00a,0,9,6,51,BEDFORD STREET,PLEASANT STREET,N5413,N5411,BEDFORD STREET,PLEASANT STREET,N5413,N5411,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{F2838668-F9C5-46F8-93C1-F207824905FB},,,,,2056.601492,100,2056.601455,Y
1543,0,7,4f2b52ef-a47c-41b1-8198-127f57610f70,0,7,0,35,NORTH ELM STREET,BUSCHMANN AVENUE,US202 NB,L152416,NORTH ELM STREET,LOCKHOUSE ROAD,US202 NB,N5041,PIONEER VALLEY PLANNING COMMISSION,WESTFIELD,2,{22C993B8-5284-46B6-A75D-9AA24FC7B81C},,,,,981.431951,101,981.431881,Y
1546,0,17,ec555362-30e0-4c3d-80c5-d7b697b9d9d7,0,14,3,73,MAIN STREET, ,US20 EB,L043443,MAIN STREET,ELM STREET,US20 EB,N107 NB,METROPOLITAN AREA PLANNING COUNCIL,WALTHAM,4,{49F7CAC0-2870-4CD7-B35E-E6865DDA6918},,,,,1872.84781,102,1872.84776,Y
1575,0,12,9d53d4ab-9784-42d3-a276-dc329cd3a427,0,6,6,36,HARVARD STREET,HARVARD AVENUE,N129 NB,L161794,HARVARD STREET,SCHOOL STREET,N129 NB,N1521,METROPOLITAN AREA PLANNING COUNCIL,BROOKLINE,6,{60676B00-812E-402E-8FA2-B9201FEC0CF2},,,,,1207.463839,103,1207.463816,Y
1584,0,10,de4842f3-2121-458a-b36b-6bde81b31a33,0,8,2,42,MAIN STREET,LYNN FELLS PARKWAY,N344,N1285 NB,MAIN STREET,LYNN FELLS PARKWAY,N344,N1285 NB,METROPOLITAN AREA PLANNING COUNCIL,MELROSE,4,{F455CA4F-4B31-4C08-B369-6EF8A8B3685E},,,,,1113.089229,104,1113.08925,Y
1588,0,306,b03db2c8-d75c-4ad1-b167-7ff670062066,1,185,120,1055,MASSACHUSETTS AVENUE,GREEN STREET,SR2A EB,L163047,MEMORIAL DRIVE,MEMORIAL DRIVE UNDERPASS, ,US3 NB,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{6D1DA4A0-6630-4FC2-BF1F-10941758E545},,,,,7341.264613,105,7341.264151,Y
1589,0,8,9e7b1e29-ed7a-4a01-8019-421db3d9d00d,0,6,2,32,COUNTY STREET,QUEQUECHAN STREET,N5559,N5561,PLEASANT STREET,COUNTY STREET,N5411,N5559,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{3DFB5034-5D00-457A-922D-1DEEA51E69EC},,,,,1050.131269,106,1050.131139,Y
