OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,RANK,MAP_NAME,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
127,0,19,5c1aa82b-1f15-4b28-8793-e6bba033f368,0,15,4,79,SOUTH MAIN STREET,GLOBE STREET,SR138 NB,SMR136,SOUTH MAIN STREET,GLOBE STREET,SR138 NB,SMR136,SRPEDD,FALL RIVER,5,0, ,{AE73596E-3C60-4BA9-871A-C23D9539C2B6},,,,,92065.823578,1198.047072
128,0,23,3271f6dd-b0ab-48a6-8575-81adc800f563,1,14,8,88,CENTRAL STREET,WASHINGTON STREET,SR135 EB,SR16 EB,CENTRAL STREET,WASHINGTON STREET,SR135 EB,SR16 EB,MAPC,WELLESLEY,6,0, ,{A9785087-31A4-4EA0-8711-B97666C209B2},,,,,160385.007614,1986.222088
129,0,23,65ce790a-c7ce-4bb1-a917-3b61695c798d,0,17,6,91,MAIN STREET,WATER STREET,SR129 EB,SR129 EB,MAIN STREET,WATER STREET,SR129 EB,SR129 EB,MAPC,WAKEFIELD,4,0, ,{2A8097ED-2CFD-4A76-936D-C10EED7D47E0},,,,,152536.284973,1809.313807
130,0,35,5c0d6cca-a3e7-4cac-b235-e431aa9892c4,1,29,5,160,NORTH MAIN STREET,WEST ASHLAND STREET,OCR036,L184742,NORTH MAIN STREET,EAST ASHLAND STREET,OCR036,OCR002,OCPC,BROCKTON,5,0, ,{A5418790-D527-4682-AE7C-AA839502C6E3},,,,,237195.758713,2527.817743
131,0,2,b85cdd1a-e5e3-402b-bcab-aa25557de7ac,0,1,1,6,MAIN STREET,WASHINGTON STREET,L203852,NTR008,MAIN STREET,WASHINGTON STREET,L203852,NTR008,NPEDC,NANTUCKET,5,0, ,{231735C6-0F75-4298-B8A7-83DDA0590A4C},,,,,47325.85965,797.447701
132,0,14,59b12176-2df8-45d2-a926-79e5bfcdb308,0,11,3,58,BROADWAY,REVERE STREET,SR107 NB,BSR1002,BROADWAY,REVERE STREET,SR107 NB,BSR1002,MAPC,REVERE,4,0, ,{CF38212E-3C07-4E1A-B1F6-F35DAFF2C20E},,,,,131669.79216,1592.45856
133,0,12,064e961b-775b-416b-9d53-b4d1929ea775,1,6,5,45,COMMON STREET,ESSEX STREET,MVR080,MVR079,COMMON STREET,ESSEX STREET,MVR080,MVR079,MVPC,LAWRENCE,4,0, ,{57A8CEE2-C6C4-44D4-BBF1-69D73DE531C1},,,,,96059.424332,1227.950739
134,0,13,6e3abed5-5cbe-452d-bfc5-9412f08f1b20,0,9,4,49,BROADWAY,BOW STREET,SR99 NB,BSR0168,BROADWAY,ALFORD STREET,SR99 NB,SR99 NB,MAPC,"EVERETT,BOSTON","4,6",0, ,{2E2E93EE-FE13-4153-B39C-4AC28117CA47},,,,,78130.557678,1105.800546
135,0,11,300c51bf-f64c-4934-8294-82234085fc7a,0,9,2,47,SOUTH MAIN STREET,NORTH MAIN STREET,SR28 NB,SR28 NB,SOUTH MAIN STREET,NORTH MAIN STREET,SR28 NB,SR28 NB,MAPC,RANDOLPH,6,0, ,{B3DB7877-B572-49F2-9617-EB11BA347A05},,,,,114619.106247,1444.25703
136,0,7,bd8413b1-92a3-4dbc-bbc2-0e305ea78968,0,7,0,35,NORTH ELM STREET,ELM STREET,SR9 EB,SR9 EB,NORTH ELM STREET,ELM STREET,SR9 EB,SR9 EB,PVPC,NORTHAMPTON,2,0, ,{A17330FB-761D-4CB2-BD6F-5857C2D14BAE},,,,,70575.80127,1017.364564
137,0,12,d4a65332-bbf8-4b76-9b05-7ccffd8fa5e2,0,9,3,48,WASHINGTON STREET,MCGRATH HIGHWAY,N334,SR28 NB,MCGRATH HIGHWAY,WASHINGTON STREET,SR28 NB,N334,MAPC,SOMERVILLE,4,0, ,{8FD5E1EA-EC39-4864-812A-FA6816AA3C2D},,,,,100915.012924,1322.332111
138,0,18,46fe1e0b-66d8-46d1-81f4-3f9f5e7aea0b,0,16,2,82,SOMERVILLE AVENUE,UNION SQUARE,N333,N333,SOMERVILLE AVENUE,UNION SQUARE,N333,N333,MAPC,SOMERVILLE,4,0, ,{598AFF0E-AABC-46C8-BC52-4128E5B0EDFB},,,,,124772.57518,1448.303523
139,0,31,4edf31f6-0636-4453-92b3-ccab86f33f43,0,27,4,139,BROADWAY,CLARK AVENUE,N350,BSR1188,BROADWAY,EASTERN AVENUE,N350,BSR0169,MAPC,"CHELSEA,REVERE","6,4",0, ,{6BA17C7E-7889-4F82-AC9B-143165B17C4D},,,,,174619.28624,1837.215229
140,0,3,0934b169-2806-4541-a682-d281ebda5169,2,1,0,25,FALMOUTH ROAD, ,SR28 NB,L000020,FALMOUTH ROAD, ,SR28 NB,L000020,CCC,BARNSTABLE,5,0, ,{752450A6-B365-4522-A2F1-90991E70559C},,,,,41735.178253,733.897936
141,0,36,5da9a3fc-d681-4035-a262-40ed4f33b905,1,22,13,133,ANDOVER STREET,HIGH STREET,SR110 EB,NMR148,ANDOVER STREET,NESMITH STREET,SR110 EB,SR38 NB,NMCOG,LOWELL,4,0, ,{B157FB1E-7498-4809-903F-2549B0015352},,,,,169917.274887,1761.708905
142,0,12,3403151c-808c-452e-b0ef-48318d431c7d,0,10,2,52,WASHINGTON AVENUE,BLOOMINGDALE STREET,BSR0172,L181183,WASHINGTON AVENUE,CARY AVENUE,BSR0172,BSR0174,MAPC,CHELSEA,6,0, ,{A43FBBE2-BD86-44F4-8EA9-5B7BE5890867},,,,,83444.189667,1156.488101
143,0,22,7d1e3be5-fc15-4601-b7f6-d387086945ed,2,15,5,100,CAUSEWAY STREET,JOHN F FITZGERALD EXPRESSWAY,N419,I93 NB,JOHN F FITZGERALD EXPRESSWAY,RAMP-SUMNER TUNL/CROSS ST TO RT 93 NB,I93 NB,R12154,MAPC,BOSTON,6,0, ,{972191C3-5163-4E0B-88A6-AE012E98B26D},,,,,178615.281601,2052.458605
144,0,25,b7b5979d-39d3-425a-8637-2d6b3d2ba7fa,0,17,8,93,INTERSTATE 290,MADISON STREET,I290 EB,SR122 NB,INTERSTATE 290,MADISON STREET,I290 EB,SR122 NB,CMRPC,WORCESTER,3,0, ,{6485BC97-C51D-47D5-AA00-B0E7E5F156EC},,,,,123037.959457,1466.676933
145,0,47,9c846dea-d8a1-45ef-8cd8-8d19cf8b293f,0,41,6,211, ,MAIN STREET,L000314,US20 EB,MAIN STREET,MOUNT AUBURN STREET,US20 EB,SR16 EB,MAPC,WATERTOWN,6,0, ,{FDE7F1AE-8A42-4499-AC60-3089D08625A4},,,,,197921.749298,2297.274836
