inject_date,street,city,roadType,pubMillis,locy,locx,subtype,reliability,uuid,type,reportRating,magvar,startTime,startTimeMillis,endTime,endTimeMillis
2/23/15 2:50,William J Day Blvd,"Boston, MA",7,1.42E+12,42.329442,-71.034833,HAZARD_ON_ROAD_POT_HOLE,5,08bfee95-fdf4-3c5d-a3d1-3614a30edcbb,WEATHERHAZARD,1,71,2/23/15 2:45,1.42E+12,2/23/15 2:46,1.42E+12
2/23/15 2:50,Charlesgate,"Boston, MA",6,1.42E+12,42.348409,-71.092323,HAZARD_ON_ROAD_POT_HOLE,5,1b68cc6c-0865-3d7c-b22f-9dbf5d31ad97,WEATHERHAZARD,2,0,2/23/15 2:45,1.42E+12,2/23/15 2:46,1.42E+12
2/23/15 3:30,Charlesgate,"Boston, MA",6,1.42E+12,42.348409,-71.092323,HAZARD_ON_ROAD_POT_HOLE,8,1b68cc6c-0865-3d7c-b22f-9dbf5d31ad97,WEATHERHAZARD,2,0,2/23/15 3:25,1.42E+12,2/23/15 3:26,1.42E+12
2/23/15 4:30,W Roxbury Pkwy,"Boston, MA",6,1.42E+12,42.297615,-71.145815,HAZARD_ON_ROAD_POT_HOLE,5,cc24620a-d01b-3bc2-9783-80ba7cb251ed,WEATHERHAZARD,3,161,2/23/15 4:25,1.42E+12,2/23/15 4:26,1.42E+12
2/23/15 4:40,to Fenway,"Boston, MA",4,1.42E+12,42.350497,-71.092633,HAZARD_ON_ROAD_POT_HOLE,5,7f577719-45e9-3e93-ab89-bee9843ea09d,WEATHERHAZARD,1,146,2/23/15 4:35,1.42E+12,2/23/15 4:36,1.42E+12
2/23/15 4:40,W Roxbury Pkwy,"Boston, MA",6,1.42E+12,42.297615,-71.145815,HAZARD_ON_ROAD_POT_HOLE,5,cc24620a-d01b-3bc2-9783-80ba7cb251ed,WEATHERHAZARD,3,161,2/23/15 4:35,1.42E+12,2/23/15 4:36,1.42E+12
2/23/15 4:50,to Fenway,"Boston, MA",4,1.42E+12,42.350497,-71.092633,HAZARD_ON_ROAD_POT_HOLE,5,7f577719-45e9-3e93-ab89-bee9843ea09d,WEATHERHAZARD,1,146,2/23/15 4:45,1.42E+12,2/23/15 4:46,1.42E+12
2/23/15 4:50,W Roxbury Pkwy,"Boston, MA",6,1.42E+12,42.297615,-71.145815,HAZARD_ON_ROAD_POT_HOLE,5,cc24620a-d01b-3bc2-9783-80ba7cb251ed,WEATHERHAZARD,3,161,2/23/15 4:45,1.42E+12,2/23/15 4:46,1.42E+12
2/23/15 5:00,Hobson St,"Boston, MA",1,1.42E+12,42.353119,-71.162235,HAZARD_ON_ROAD_POT_HOLE,6,3706df8c-85ed-34c8-abd3-0194807e2989,WEATHERHAZARD,1,9,2/23/15 4:55,1.42E+12,2/23/15 4:56,1.42E+12
2/23/15 5:00,to Fenway,"Boston, MA",4,1.42E+12,42.350497,-71.092633,HAZARD_ON_ROAD_POT_HOLE,5,7f577719-45e9-3e93-ab89-bee9843ea09d,WEATHERHAZARD,1,146,2/23/15 4:55,1.42E+12,2/23/15 4:56,1.42E+12
2/23/15 5:20,Hobson St,"Boston, MA",1,1.42E+12,42.353119,-71.162235,HAZARD_ON_ROAD_POT_HOLE,6,3706df8c-85ed-34c8-abd3-0194807e2989,WEATHERHAZARD,1,9,2/23/15 5:15,1.42E+12,2/23/15 5:16,1.42E+12
2/23/15 10:40,I-90 E,"Boston, MA",3,1.42E+12,42.343414,-71.061207,HAZARD_ON_ROAD_POT_HOLE,5,8a7b25f4-44ce-320e-aeab-6619df006121,WEATHERHAZARD,3,22,2/23/15 10:36,1.42E+12,2/23/15 10:37,1.42E+12
2/23/15 10:50,I-90 E,"Boston, MA",3,1.42E+12,42.343414,-71.061207,HAZARD_ON_ROAD_POT_HOLE,6,8a7b25f4-44ce-320e-aeab-6619df006121,WEATHERHAZARD,3,22,2/23/15 10:46,1.42E+12,2/23/15 10:47,1.42E+12
2/23/15 11:00,Park Dr,"Boston, MA",0,1.42E+12,42.344759,-71.104209,HAZARD_ON_ROAD_POT_HOLE,5,43f39272-73d0-38e5-8f2b-3288110ec09a,WEATHERHAZARD,3,172,2/23/15 10:56,1.42E+12,2/23/15 10:57,1.42E+12
2/23/15 11:00,Riverway,"Boston, MA",6,1.42E+12,42.342957,-71.103521,HAZARD_ON_ROAD_POT_HOLE,5,f4ea0c4b-1a4c-350d-b8da-57fe8bdf4f39,WEATHERHAZARD,3,133,2/23/15 10:56,1.42E+12,2/23/15 10:57,1.42E+12
2/23/15 11:00,N Washington St,"Boston, MA",6,1.42E+12,42.367182,-71.058686,HAZARD_ON_ROAD_POT_HOLE,5,0a430170-6d19-3ddf-bf97-28d549a701cd,WEATHERHAZARD,1,-28,2/23/15 10:56,1.42E+12,2/23/15 10:57,1.42E+12
2/23/15 11:00,I-90 E,"Boston, MA",3,1.42E+12,42.343414,-71.061207,HAZARD_ON_ROAD_POT_HOLE,6,8a7b25f4-44ce-320e-aeab-6619df006121,WEATHERHAZARD,3,22,2/23/15 10:56,1.42E+12,2/23/15 10:57,1.42E+12
2/23/15 11:10,Park Dr,"Boston, MA",0,1.42E+12,42.344759,-71.104209,HAZARD_ON_ROAD_POT_HOLE,7,43f39272-73d0-38e5-8f2b-3288110ec09a,WEATHERHAZARD,3,172,2/23/15 11:06,1.42E+12,2/23/15 11:07,1.42E+12
2/23/15 11:10,Riverway,"Boston, MA",6,1.42E+12,42.342957,-71.103521,HAZARD_ON_ROAD_POT_HOLE,7,f4ea0c4b-1a4c-350d-b8da-57fe8bdf4f39,WEATHERHAZARD,3,133,2/23/15 11:06,1.42E+12,2/23/15 11:07,1.42E+12
2/23/15 11:10,N Washington St,"Boston, MA",6,1.42E+12,42.367182,-71.058686,HAZARD_ON_ROAD_POT_HOLE,5,0a430170-6d19-3ddf-bf97-28d549a701cd,WEATHERHAZARD,1,-28,2/23/15 11:06,1.42E+12,2/23/15 11:07,1.42E+12
